cycle,component,fwhm,rise_time,decay_time,rise_decay_symmetry,sharpness
97,s,7.0,1.0,6.0,0.14285714285714285,-0.9541000822459647
97,t,,,,,
98,p,,,,,
98,q,4.0,3.0,1.0,0.75,-0.8423604192103427
98,r,,,,,
98,s,2.0,1.0,1.0,0.5,-0.40276950606223144
98,t,,,,,
99,p,,,,,
99,q,2.0,1.0,1.0,0.5,2.0890005163271423
99,r,,,,,
99,s,8.0,1.0,7.0,0.125,-1.0281708055668648
99,t,,,,,
100,p,,,,,
100,q,9.0,5.0,4.0,0.5555555555555556,-0.8525487753881521
100,r,,,,,
100,s,2.0,1.0,1.0,0.5,7.986989625720081
100,t,,,,,
101,p,,,,,
101,q,2.0,1.0,1.0,0.5,1.6964091786277613
101,r,,,,,
101,s,4.0,1.0,3.0,0.25,-0.6618581443937199
101,t,,,,,
102,p,,,,,
102,q,2.0,1.0,1.0,0.5,-0.5036267851129752
102,r,,,,,
102,s,11.0,9.0,2.0,0.8181818181818182,-2.6223341853628237
102,t,,,,,
103,p,,,,,
103,q,3.0,2.0,1.0,0.6666666666666666,-1.0487091971080793
103,r,,,,,
103,s,3.0,2.0,1.0,0.6666666666666666,-0.6226863625177401
103,t,,,,,
104,p,,,,,
104,q,5.0,4.0,1.0,0.8,-0.9226012214607274
104,r,,,,,
104,s,2.0,1.0,1.0,0.5,-1.128535411315378
104,t,,,,,
105,p,,,,,
105,q,10.0,1.0,9.0,0.1,-2.32586205605601
105,r,,,,,
105,s,2.0,1.0,1.0,0.5,0.7112827920668495
105,t,,,,,
106,p,,,,,
106,q,6.0,5.0,1.0,0.8333333333333334,-0.5372114994454623
106,r,,,,,
106,s,2.0,1.0,1.0,0.5,2.173073446475816
106,t,,,,,
107,p,,,,,
107,q,4.0,1.0,3.0,0.25,-0.711485518184642
107,r,,,,,
107,s,2.0,1.0,1.0,0.5,20.8583863878111
107,t,,,,,
108,p,,,,,
108,q,3.0,1.0,2.0,0.3333333333333333,2.826695433979256
108,r,,,,,
108,s,3.0,2.0,1.0,0.6666666666666666,-0.5320365571761713
108,t,,,,,
109,p,,,,,
109,q,2.0,1.0,1.0,0.5,0.9912999149293472
109,r,,,,,
109,s,3.0,2.0,1.0,0.6666666666666666,-1.8598584668734042
109,t,,,,,
110,p,,,,,
110,q,6.0,3.0,3.0,0.5,-4.032352587894278
110,r,,,,,
110,s,4.0,1.0,3.0,0.25,-6.566380516889215
110,t,,,,,
111,p,,,,,
111,q,5.0,4.0,1.0,0.8,-38.29692305202513
111,r,,,,,
111,s,4.0,2.0,2.0,0.5,-2.722153564158523
111,t,,,,,
112,p,,,,,
112,q,4.0,2.0,2.0,0.5,-1.0841931311143598
112,r,,,,,
112,s,2.0,1.0,1.0,0.5,9.241876005490207
112,t,,,,,
113,p,,,,,
113,q,2.0,1.0,1.0,0.5,1.3275890563507742
113,r,,,,,
113,s,3.0,1.0,2.0,0.3333333333333333,-0.9585571400474268
113,t,,,,,
114,p,,,,,
114,q,10.0,7.0,3.0,0.7,-2.9099554884907506
114,r,,,,,
114,s,2.0,1.0,1.0,0.5,0.672006428424894
114,t,,,,,
115,p,,,,,
115,q,2.0,1.0,1.0,0.5,2.8266059146761364
115,r,,,,,
115,s,12.0,7.0,5.0,0.5833333333333334,-2.19045959357236
115,t,,,,,
116,p,,,,,
116,q,5.0,3.0,2.0,0.6,-0.4964960695311236
116,r,,,,,
116,s,2.0,1.0,1.0,0.5,-0.5307507060642636
116,t,,,,,
117,p,,,,,
117,q,8.0,6.0,2.0,0.75,-0.6959929864595659
117,r,,,,,
117,s,3.0,2.0,1.0,0.6666666666666666,1.108090834429739
117,t,,,,,
118,p,,,,,
118,q,4.0,1.0,3.0,0.25,-1.5906534062404767
118,r,,,,,
118,s,4.0,2.0,2.0,0.5,-0.6079996525847333
118,t,,,,,
119,p,,,,,
119,q,2.0,1.0,1.0,0.5,-0.44453240836051067
119,r,,,,,
119,s,3.0,2.0,1.0,0.6666666666666666,-1.4556910181391471
119,t,,,,,
120,p,,,,,
120,q,2.0,1.0,1.0,0.5,-0.5156101297437733
120,r,,,,,
120,s,3.0,2.0,1.0,0.6666666666666666,-1.3500851347274576
120,t,,,,,
121,p,,,,,
121,q,4.0,1.0,3.0,0.25,-1.40968557614853
121,r,,,,,
121,s,2.0,1.0,1.0,0.5,0.5180730973119053
121,t,,,,,
122,p,,,,,
122,q,2.0,1.0,1.0,0.5,-1.098648289017566
122,r,,,,,
122,s,2.0,1.0,1.0,0.5,-1.0672556280263106
122,t,,,,,
123,p,,,,,
123,q,3.0,2.0,1.0,0.6666666666666666,19.304164261581704
123,r,,,,,
123,s,2.0,1.0,1.0,0.5,-0.7543004760396187
123,t,,,,,
124,p,,,,,
124,q,3.0,2.0,1.0,0.6666666666666666,-0.7562286974503926
124,r,,,,,
124,s,5.0,3.0,2.0,0.6,-13.726113914832865
124,t,,,,,
125,p,,,,,
125,q,2.0,1.0,1.0,0.5,-0.6268637476126823
125,r,,,,,
125,s,6.0,1.0,5.0,0.16666666666666666,-3.1547235204165447
125,t,,,,,
126,p,,,,,
126,q,3.0,1.0,2.0,0.3333333333333333,-0.4132151181351005
126,r,,,,,
126,s,3.0,2.0,1.0,0.6666666666666666,-5.334164285539997
126,t,,,,,
127,p,,,,,
127,q,3.0,2.0,1.0,0.6666666666666666,-1.0281166277200644
127,r,,,,,
127,s,3.0,2.0,1.0,0.6666666666666666,3.1214592232286726
127,t,,,,,
128,p,,,,,
128,q,10.0,5.0,5.0,0.5,-6.652792632759679
128,r,,,,,
128,s,3.0,2.0,1.0,0.6666666666666666,-7.493546692188099
128,t,,,,,
129,p,,,,,
129,q,2.0,1.0,1.0,0.5,-1.1229690764625573
129,r,,,,,
129,s,3.0,1.0,2.0,0.3333333333333333,27.16496610238496
129,t,,,,,
130,p,,,,,
130,q,4.0,2.0,2.0,0.5,-13.54762372597441
130,r,,,,,
130,s,2.0,1.0,1.0,0.5,-2.247603064009577
130,t,,,,,
131,p,,,,,
131,q,2.0,1.0,1.0,0.5,0.6499192654283406
131,r,,,,,
131,s,2.0,1.0,1.0,0.5,1.6405201291998681
131,t,,,,,
132,p,,,,,
132,q,4.0,3.0,1.0,0.75,-0.6443504994846939
132,r,,,,,
132,s,5.0,1.0,4.0,0.2,-2.3732323248872116
132,t,,,,,
133,p,,,,,
133,q,2.0,1.0,1.0,0.5,4.458100879680107
133,r,,,,,
133,s,5.0,4.0,1.0,0.8,-1.4372879404167216
133,t,,,,,
134,p,,,,,
134,q,5.0,4.0,1.0,0.8,-0.8719424310908563
134,r,,,,,
134,s,5.0,4.0,1.0,0.8,-0.7085889625132161
134,t,,,,,
135,p,,,,,
135,q,3.0,2.0,1.0,0.6666666666666666,-0.5957423253897092
135,r,,,,,
135,s,2.0,1.0,1.0,0.5,10.507884852862626
135,t,,,,,
136,p,,,,,
136,q,4.0,2.0,2.0,0.5,-0.4866491579904248
136,r,,,,,
136,s,2.0,1.0,1.0,0.5,0.5027168533484551
136,t,,,,,
137,p,,,,,
137,q,5.0,1.0,4.0,0.2,-2.3017166258833406
137,r,,,,,
137,s,2.0,1.0,1.0,0.5,1.7526099572017992
137,t,,,,,
138,p,,,,,
138,q,2.0,1.0,1.0,0.5,-1.1278247439521534
138,r,,,,,
138,s,3.0,2.0,1.0,0.6666666666666666,-0.5554004816781672
138,t,,,,,
139,p,,,,,
139,q,3.0,1.0,2.0,0.3333333333333333,-1.912336057491204
139,r,,,,,
139,s,5.0,1.0,4.0,0.2,-1.8412335985593091
139,t,,,,,
140,p,,,,,
140,q,2.0,1.0,1.0,0.5,0.8609907109609495
140,r,,,,,
140,s,12.0,2.0,10.0,0.16666666666666666,-3.475623034623188
140,t,,,,,
141,p,,,,,
141,q,4.0,1.0,3.0,0.25,-0.7427974680311975
141,r,,,,,
141,s,2.0,1.0,1.0,0.5,-1.2638808375618233
141,t,,,,,
142,p,,,,,
142,q,4.0,1.0,3.0,0.25,-0.993530457680728
142,r,,,,,
142,s,2.0,1.0,1.0,0.5,-1.2079678013190807
142,t,,,,,
143,p,,,,,
143,q,3.0,1.0,2.0,0.3333333333333333,9.683755009655442
143,r,,,,,
143,s,3.0,2.0,1.0,0.6666666666666666,2.126941858058005
143,t,,,,,
144,p,,,,,
144,q,5.0,3.0,2.0,0.6,-0.7300245150427227
144,r,,,,,
144,s,3.0,2.0,1.0,0.6666666666666666,-1.237260907129545
144,t,,,,,
145,p,,,,,
145,q,2.0,1.0,1.0,0.5,-0.7606831762155621
145,r,,,,,
145,s,6.0,1.0,5.0,0.16666666666666666,-6.194131252060694
145,t,,,,,
146,p,,,,,
146,q,2.0,1.0,1.0,0.5,-0.59491973239012
146,r,,,,,
146,s,2.0,1.0,1.0,0.5,-0.9411847572915263
146,t,,,,,
147,p,,,,,
147,q,8.0,2.0,6.0,0.25,-1.522284466998421
147,r,,,,,
147,s,5.0,2.0,3.0,0.4,-1.3953289820212171
147,t,,,,,
148,p,,,,,
148,q,2.0,1.0,1.0,0.5,1.9198338760458504
148,r,,,,,
148,s,2.0,1.0,1.0,0.5,1.9198338760458504
148,t,,,,,
149,p,,,,,
149,q,3.0,2.0,1.0,0.6666666666666666,-1.3386536184564914
149,r,,,,,
149,s,4.0,3.0,1.0,0.75,-2.5209743441784047
149,t,,,,,
150,p,,,,,
150,q,3.0,2.0,1.0,0.6666666666666666,-1.2903132876838188
150,r,,,,,
150,s,22.0,19.0,3.0,0.8636363636363636,-7.111339570029268
150,t,,,,,
151,p,,,,,
151,q,3.0,1.0,2.0,0.3333333333333333,2.1601868664106942
151,r,,,,,
151,s,3.0,2.0,1.0,0.6666666666666666,-1.4355395272759508
151,t,,,,,
152,p,,,,,
152,q,3.0,1.0,2.0,0.3333333333333333,-0.6336455974154275
152,r,,,,,
152,s,10.0,3.0,7.0,0.3,-2.4293895892802757
152,t,,,,,
153,p,,,,,
153,q,13.0,7.0,6.0,0.5384615384615384,-4.081936919250976
